"","comp1","comp2"
"ZWLGEWL-02",-3.48210191819772,-1.53068119756259
"ZW61YGW-04",-2.16760035837115,-0.893092768498776
"ZQMVU4Q-04",-1.28202849340872,2.81001214840511
"ZLTUJTN-11",-1.51928068128313,-1.26427401947868
"ZVBQY1N-03",-0.978081305029664,2.20426795307305
"ZLGD9M0-1012",3.77971536231197,-0.715530899655018
"ZUPAQVU-10",3.61217074514655,0.591669265513981
"ZLGD9M0-15",1.60123900096349,-0.199924919228316
"ZX52KVK-2022",-2.18101954042912,-8.59999701057083
"ZY9XQJP-01",-0.889038993847086,-2.26999455598792
"ZVBQY1N-07",-2.25433407901427,-6.04320520805401
"ZMBVNFM-10",-2.63570739821706,-0.131630454250961
"ZVNCGHM-1011",-2.9949114947999,-1.26120687097099
"ZL9BTWF-06",-2.09893314406616,-1.05939699637257
"ZUPAQVU-07",-0.62841509789208,-5.28111637308916
"ZJXC41N-03",-1.11054959541863,-3.03098870807858
"ZTJ7L7Z-02",-1.8383341076676,0.444449293567187
"ZPDABJR-3013",-4.34938922096223,0.425315901100621
"ZKFV71L-07",2.82783979765484,-4.86014624629442
"ZN0JE53-02",5.15958892239485,-0.0972132984186873
"ZM8YXDM-11",6.12726286494398,-5.65274795386177
"ZWHMV5E-01",5.7519928632081,-1.57734918194141
"ZL9BTWF-1011",6.46730045667897,-0.0340813304499131
"ZOZOW1T-84",6.29915358869467,-1.17570858099565
"ZN3TBJM-2025",13.6196695548826,3.12479951490644
"ZVNCGHM-10",3.6270811449313,0.961701018589464
"ZLZNCLZ-1025",3.64844590045284,-0.678573718281515
"ZLZNCLZ-2015",1.80729060593774,-0.138243077632438
"ZPMBHPS-01",5.43560221599735,-0.766832778018977
"ZKFV71L-2013",2.48632852107003,0.701147399471527
"ZLTUJTN-2034",4.48057930595093,1.22575217001144
"ZWLGEWL-2013",3.13947267791287,1.07739307827617
"ZN9YTFN-1015",2.96729079864519,-1.14281376296386
"ZPEL6L3-02",3.65147928360855,0.621072255417119
"ZN9YTFN-04",0.545344393629615,0.224074676551536
"ZX52KVK-6031_2",-3.08983613797989,2.72046253423557
"ZLZQMEV-1015",1.1375046218169,-0.355521161306477
"ZM8YXDM-06",2.02357643811729,-1.9741112531185
"ZUL3S6O-2015",0.441420409795724,-1.74896070441427
"ZW61YGW-05",0.160883034043917,-1.41510451888939
"ZNDMXI3-06",0.302923979095743,-0.353869115276177
"ZKFV71L-2014",-1.88404073856919,0.542022486302569
"ZKVR426-1012",2.08449038104885,-1.78421803489377
"ZN0JE53-03",0.276926207416582,-3.30451067124502
"ZKVR426-09",1.16079141627092,-1.29540663561114
"ZKVR426-1015",-1.04084549916066,-1.36449875509046
"ZN3TBJM-03",-0.346720871480887,-3.00289901795616
"ZLZQMEV-10",1.0746509793712,-3.51819960549312
"ZLZNCLZ-1012",1.82838887380892,-0.208329693096816
"ZWFDEY0-09",-1.32254210059379,1.50356995719621
"ZOZOW1T-4021",-0.0432999708346274,-1.09962829955747
"ZLTUJTN-2033",-0.00114549197536239,-1.51558942197249
"ZUPAQVU-04",-0.28385183533163,-0.887054026315778
"ZY7IW45-04",0.11830762646178,-2.32819508632553
"ZXSO14L-02",1.4844383021623,-3.69304697266739
"ZLZQMEV-12",-1.82346357999999,-2.77701342690626
"ZLTUJTN-12",-2.10954058324152,-2.93167442250459
"ZN3TBJM-02",-2.28459376565435,3.15958760621681
"ZWCZHHY-04",0.0137091508047291,-1.82589444027786
"ZWFDEY0-05",-1.86592566103627,-1.4215791968984
"ZLPZS0H-15",-2.11613158590085,1.14326803366572
"ZL63I8R-11",0.788146090666793,0.508208493421769
"ZKFV71L-02",-2.18289814314819,1.65459404381766
"ZL63I8R-09",-2.09452283555604,0.661201587760738
"ZOZOW1T-7044",0.566522708745179,-0.244763933957431
"ZY9XQJP-07",-0.207192666119108,-1.23271096028
"ZN3TBJM-4015",-1.91103353557268,-0.565184260946703
"ZVBQY1N-1014",-1.2405650242364,1.15775232850633
"ZVBQY1N-1025",-1.52111098078637,3.61330716509937
"ZX52KVK-8012",-1.96444210013219,3.75984029619789
"ZOZOW1T-82",0.822140683901453,-6.01414512218358
"ZWFDEY0-02",0.808821452422087,-0.804678410856928
"ZVM4N7A-6021",0.681469424375973,0.852826324684025
"ZKFV71L-12",8.18213254466721,2.01561412853134
"ZOZOW1T-58",-0.427989359647958,1.65426783820792
"ZN9YTFN-07",-1.68276016165216,-0.806275576710503
"ZLTUJTN-2014",-1.94682603181041,0.730732231887389
"ZLZQMEV-01",-0.712720701668424,-0.448626871159562
"ZMBVNFM-03",2.52743221155706,0.513217186054841
"ZN3TBJM-2022",0.287548169478386,-1.94331705217682
"ZYXQKWY-08",2.12955272419023,-0.393285100261085
"ZKVR426-10",-1.92123675748269,1.06901883730728
"ZX52KVK-1032",-1.14814032156088,-2.10123950743507
"ZN3TBJM-1013",-2.28468613608022,0.946449554509208
"ZMBVNFM-02",-1.26271560121906,-0.396870423824561
"ZK112BX-1011",-2.10862753304218,0.926914816662047
"ZN3TBJM-4012",-2.37027809547519,1.23583717720889
"ZX52KVK-4012",-1.83443147648589,0.744826992293611
"ZLTUJTN-15",-3.16537959421843,-2.37020574433217
"ZJTKAE3-06",-2.32100397066556,0.487564499136916
"ZYXQKWY-05",-2.0901908507686,-5.61062845269332
"ZOZOW1T-53",-4.11123801574471,-0.955752928970856
"ZN3TBJM-2052",-2.96807982977157,2.77266458202216
"ZLTUJTN-13",-3.07286922308874,1.8977882848712
"ZK4CK8Y-04",-0.74457220671795,0.00968888383417614
"ZTUO1AO-01",0.704635940655563,-0.290829101435091
"ZOZOW1T-4026",-3.17932917222836,2.06555115298642
"ZW61YGW-08",-2.94035471299951,2.01550432257264
"ZMBVNFM-1033",-4.22963419363572,-4.0484111805776
"ZN3TBJM-01",-3.63751454912092,0.273694765353651
"ZKFV71L-6011",-2.34792615029098,0.827572785389017
"ZK112BX-1014",-2.14378698306386,2.55657649600457
