"","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10"
"ZIS22OE-02",-0.523615758279256,1.43020064824745,-1.55780887492654,1.79279594853622,0.135029151188273,-0.85336243795773,1.27198191508483,-1.39791626773722,-0.901685393077845,-1.01163375007239
"ZJOSZHK-01",-2.19183307071639,0.122086782532062,-1.17761374604254,0.809568000428312,-1.15661968815119,-0.571101360304513,-0.374489622439542,-0.0766855681180083,0.381633853777684,0.517556960741535
"ZJTKAE3-02",-0.690567701632565,5.71298900803961,0.115794369233607,-1.03886898347661,2.03978198482965,-0.268770401014775,1.82257377464848,2.58761333698826,1.54813272094502,0.303417539262897
"ZJTKAE3-04",6.72535487339163,5.23934028799762,3.42692935643703,-2.26677439765594,4.20469744067083,-4.30835261618692,-1.25948294012212,-1.95466568402936,5.55726472553737,4.11261673056378
"ZJTKAE3-06",-1.15199543117799,1.50118095669139,0.718893092692247,-0.864529540890155,0.585274318945687,-0.420488910671134,-0.403341576307514,-1.05600559040438,1.3782620032703,0.841285337730174
"ZJTKAE3-2012",-0.333354844428458,1.98545679699266,-3.42326571400473,1.01276504722095,1.45192984140406,1.05700026236928,-1.26323218538123,-0.000873446279013423,-3.03216790150053,3.79632663988608
"ZJTKAE3-2013",-1.74067777562557,1.34234146329489,-3.3782521835841,2.85985508013372,1.74332180699196,0.423540617298204,-0.287546704415063,0.582681469459939,-2.75116919673362,3.86710938146188
"ZJTKAE3-2015",-0.549881788571256,0.749326475737384,2.26600892306898,-0.810539722166028,0.256509015057333,-1.22150464877963,-0.782794825893569,-0.915032061111543,1.94086021537473,0.963652866214238
"ZJTKAE3-6011",-1.03395146760633,0.675283430747771,-0.395960120911333,1.1091562577075,-0.495110061630382,-3.56747538830626,-0.632585125856762,-1.19277967399401,1.79006573324384,3.29913448910041
"ZJTKAE3-6021",0.459298802984663,1.59264515247102,1.72771927968499,-0.258228452088101,-0.415701048921096,1.53127294179973,-1.17234035873026,-0.759186798099577,-0.884017957174499,-0.126382979424294
"ZJXC41N-02",5.14889807958971,-1.04048695076044,-3.17580207574268,-0.358153635782464,-1.3525850000241,1.37933583844585,-0.0348871865896446,-2.73773176033176,-3.33308408865513,2.58729891605097
"ZJXC41N-03",4.75632629168659,-1.0457703868551,-3.6385015987113,0.975493222217861,-1.70729473508773,1.24876771593353,0.341444207564057,-2.07252670562463,-4.32768072922431,4.10560190041287
"ZJXC41N-1011",1.55513790068298,-0.26200920952185,-0.162865840838923,-3.06979926494939,0.0912421019034293,0.297378396726109,-0.523955020817987,-2.47490413052483,0.448741936310424,0.819592627717539
"ZJXC41N-11",1.8601251669093,-0.835149025328247,-2.10906819777024,-0.392058231957952,-0.935696364799766,0.120946857564643,-0.644538408587267,-2.22570896231523,-0.309853197623456,-0.128353421044754
"ZK01UI6-01",0.477692418103741,1.80549403562617,11.2304606998597,-4.87088907015465,0.376670105265526,-2.58513431639533,5.93392405128241,1.45387346282225,-3.74307952439094,1.196771925441
"ZK112BX-01",4.16512043712646,-0.542761182047776,2.28049938242792,2.39646888998465,8.66615207559677,-3.91677395851438,-10.5060307227678,2.93083620901851,-1.46114475889053,0.463380597666803
"ZK112BX-03",2.31129267661838,0.999289958071574,2.68357937619926,0.946420252030325,8.16209502121835,-2.08475396929872,-10.8637950544736,2.65116758750035,-2.5147658196863,1.48578275390824
"ZK112BX-05",5.75125545030097,1.86241777642559,3.87413289212592,2.87501955884669,3.38364356117947,-2.40146187097843,-4.93751931995174,2.71459123594435,-0.498310285385717,-0.946073949154517
"ZK112BX-06",-0.0824012533839263,-0.822556062306196,0.217505008886271,-1.06439314818091,1.22731552992233,-0.651176510204,-2.28655056952704,0.90883975241012,0.272121141734074,0.926523970500292
"ZK112BX-07",1.33941233514384,-0.306059388514427,2.96101650956408,-0.0984274913595432,1.31996006145105,2.81631204919361,-1.5720194755432,2.29932653345579,-0.453247357555666,-1.64911368254143
"ZK112BX-08",-2.60847729098012,0.77427507399788,-0.202018818851692,-0.890645786053962,0.126420331393722,-0.34718120601598,-1.13314647275863,1.59599909922813,-1.59996085382966,0.0593973741609565
"ZK112BX-09",-1.93404085525066,0.909459060166731,0.10155689935687,0.187533797198406,1.23715212353736,0.348303904683593,-0.232883980836453,2.02367304855532,-0.827852079308304,0.668030422243494
"ZK112BX-10",-0.595605634159158,0.105631926593867,0.608315879362805,0.346165198562843,3.99253703187247,-0.655596216816673,-3.83525549446627,2.35840623482373,-0.490994666160756,0.713797946574814
"ZK112BX-1011",-1.17311704449669,0.580994351211733,-0.640995584314861,-0.0684736313021893,0.520439269149096,-0.151882130809087,-1.87583525469407,1.02932050852687,-0.875042233847594,0.244074045737953
"ZK112BX-1014",2.78320346528933,-0.544701978169235,1.30905627508972,-0.0801897004983315,2.03168301301019,-0.543503008441017,-2.54340778571505,0.246243830845809,0.929302632352419,-0.123439409743302
"ZK112BX-1015",0.54464246170768,-0.107423166589376,0.911560567988034,-0.985871285517064,1.09905909550198,1.80345444879245,-1.57176214774246,1.08726603702047,0.382787051349711,-0.762345085435215
"ZK112BX-11",-1.75072540176293,0.555634703263379,-0.301559481155176,0.661781456651016,-0.0309435394994866,1.25108416833142,-0.500547381868703,0.238639022747308,-1.26248033901073,1.44070673661847
"ZK112BX-12",-5.51313306066997,-0.839069734120205,0.304327008728824,1.19449205979441,0.903411589294808,-1.937017110475,-0.551553702733442,0.533432469220597,-0.105009659493559,0.767186520464166
"ZK112BX-13",-4.32346796165378,0.423658824834272,0.875120826253288,1.6290557334817,3.24039325309715,-1.89598468877337,-3.13374743601363,1.92608685557573,-0.164578196245692,1.30204103174065
"ZK112BX-14",5.11097517785484,0.729819952649153,3.8384566146906,2.5376337406536,-0.0258769892656977,0.474960978362896,-3.33531146277741,0.0036468646835775,0.0693105765941842,-1.04920787609447
"ZK112BX-2001",4.01754131699809,-4.77330365822366,1.02145437478755,1.68190804317989,10.8995850646448,-3.81762527829863,-7.83317315417026,4.75649584783565,-1.15779381287159,0.459807122779927
"ZK112BX-2002",5.39583373545567,-2.56763743043786,1.0092452821534,1.84079849026392,12.7213581979573,-5.84792845522905,-10.7073541536503,3.80691469381439,-1.22223269727412,2.24842727324235
