"","comp1","comp2","comp3","comp4","comp5","comp6","comp7","comp8","comp9","comp10"
"ZIS22OE-02",1.58180540056933,0.635689159262324,-4.38284947451991,-2.71881172534479,0.153420440645013,-4.5593260659317,1.27339121782361,-2.76107349322143,2.55332678278901,-2.2461127331429
"ZJOSZHK-01",1.34979209674132,-16.0449072140557,7.4687362973082,30.3760633953892,14.7105341920365,21.4247274749315,1.98360239265098,14.9812111463687,3.4030270402582,1.22936173865714
"ZJTKAE3-02",5.55551865280744,7.4810902578702,-2.10270886646434,0.656675965912173,0.226826618601793,-0.932981747647369,0.520883443743862,-0.40550143040783,-5.06387811758572,6.78985237494324
"ZJTKAE3-04",3.02258963991409,5.92834073888896,-0.392804692665305,-0.18067072521667,4.01669471116932,-0.634854686218534,-1.35260694299049,-0.571154793114896,-0.21694308087892,7.36541700276176
"ZJTKAE3-06",3.22344696531791,6.51830363701791,-3.16792014227129,-1.31333266945051,-1.78952780803322,-2.23429692938648,-1.77170121951287,-2.89446821321928,-3.40335292401827,5.5463422943522
"ZJTKAE3-2012",2.05694632829011,4.91336497481014,-2.94229383777357,1.20039628535835,1.30118331482929,-1.7442782742805,-1.29662077169114,-0.442632913159804,-2.00260054154582,2.23794742946291
"ZJTKAE3-2013",3.34441297304018,3.40178831163367,-2.67883955101123,3.62196865246788,0.0205608073621763,-1.68715164760958,-1.41509157214921,-0.661709290527477,-1.89489050104527,1.29509680796216
"ZJTKAE3-2015",1.5085623034014,4.06046913100873,-2.3640864595226,0.562627546288722,3.03901848907481,-0.877215002118945,-2.63833717250635,-0.865399269024727,-1.27080167359534,4.1348492946177
"ZJTKAE3-6011",5.49743952868411,8.49664036254537,-4.5599990171616,1.3444138697997,-0.366484690378424,-1.20414430413744,-3.66518812478942,-3.0714936611509,-4.52374046645397,7.98797570823003
"ZJTKAE3-6021",2.03358468609022,7.08150688216339,-5.23991468043912,-0.900936273923369,2.60124757715708,-1.00850816724523,-3.05244744990418,-5.01368613988622,-1.76888733613506,4.73314546726372
"ZJXC41N-02",-2.62499315509436,-0.823093452635479,-0.419491414718598,-4.31042594207431,0.294370559221848,1.37226758666625,4.95543023952373,-3.31200888576662,-1.04023964712946,0.137858122071271
"ZJXC41N-03",-0.565322921605678,1.98367523394902,-1.05211749120502,-2.21175054157423,3.30947047855683,-0.62922096065592,3.84664385566273,-3.67610248570958,-0.167104093775233,-0.0821550856978509
"ZJXC41N-1011",1.38763452129175,5.32890352958398,-4.59981669168463,-2.11268241028332,2.31083179681727,-0.111025789404144,-0.636505585572296,-2.80422877843873,-2.10170913733865,4.64429101934104
"ZJXC41N-11",-2.06105949900904,-0.697686953532644,0.331587952613193,-2.22916715317582,-0.0999637734244115,-0.152630785835132,1.82631168655058,-2.38388310867183,-0.226944870017054,-0.154859081864116
"ZK01UI6-01",-4.22731553557709,4.51858220264612,0.479824458176981,-8.83564794835442,7.07401406325464,0.566930173260479,-2.89201860208534,-0.974971350715197,3.99902774981816,-3.99628606072074
"ZK112BX-01",5.02334614959473,2.7005372605938,0.627617070108783,0.346217862061111,8.59989236587429,-7.46447116320679,-12.9393890834251,3.09326755748417,-5.68444314849518,4.45325247764221
"ZK112BX-03",2.83338179488173,6.11608742444637,-1.97701026777381,-0.031295478153778,7.95606744056134,-4.38749283960846,-9.85335208694729,0.181094784422633,-5.57799491240633,5.03197369215399
"ZK112BX-05",3.3035680783995,2.46978069700957,0.18530369884937,-0.962120550878531,8.42664820140575,-4.48244673360614,-8.93301825895103,3.17664602093822,-1.67802275577042,1.31647256422187
"ZK112BX-06",3.49252342414879,1.40402006651447,-0.583003914204057,2.24130456552564,10.0201044210214,-0.124752806961144,-7.83878584046183,4.35869393825879,-4.42369598532556,5.10495172778717
"ZK112BX-07",0.807671289773974,-3.29985993614455,2.79151604763501,7.95700035375699,12.8357553986398,5.57074863777134,-8.26137215820792,4.68299222188287,1.54965339276375,0.890497377418483
"ZK112BX-08",1.35178158439767,5.39833202000153,-3.10016908562749,0.525781698187056,7.13589720392926,-1.65118429526245,-10.8020948160483,1.60247758010519,-3.12154184305672,2.86341089249972
"ZK112BX-09",-2.58831569501891,1.03273506775143,1.84320005800604,0.256123356291177,5.23292910668381,-1.51435417035565,-7.56856456988922,1.3273258727086,0.358553661191576,0.360600387320725
"ZK112BX-10",-2.68756559783736,-1.94604738924695,4.13025887699037,2.17263123981873,10.6060170055852,0.349547726680048,-8.95251765690691,5.70191054858933,0.0565365047163773,1.3412161359601
"ZK112BX-1011",1.93273305091477,4.66950904033357,-2.40965973477831,3.26870329573446,7.7046453372512,0.717974461670382,-9.69188987038161,1.21757662665612,-2.90182183650286,3.64202596829425
"ZK112BX-1014",-1.20485796653645,-0.042614144905516,1.50034750858575,1.35283079759175,9.67087909500712,0.768267464595096,-8.71938694299967,4.42628300980803,1.27647740508826,0.657004161539221
"ZK112BX-1015",-0.607984898094873,1.37240148331649,0.834396763992856,-0.858369846454213,7.09881875616388,-0.571187235881387,-7.02345045025911,2.46566149239795,-0.982859868427921,2.52047376181662
"ZK112BX-11",0.272865271722922,4.19081413775054,-1.55057763546967,1.35709389365791,5.90784945633795,-1.94986226793636,-6.24317181916719,1.05735183069125,-3.16035567095398,2.46663528893064
"ZK112BX-12",-0.349411640892957,-0.350823419419786,-0.178107575941076,6.49084135260301,6.43627765311321,0.500912990865681,-4.35909742860891,5.89808392077386,-4.51212625134877,4.24428177081759
"ZK112BX-13",0.132177328226627,3.93963307622543,-4.37845288926956,1.13765310564987,9.29182653704513,-2.4208140630271,-8.60514235966878,1.19518786886322,-1.59799913008356,3.74092064902777
"ZK112BX-14",2.58541303046026,6.65998519859777,-3.64889136523969,-0.500516286416012,8.70940998351426,-1.39400117498957,-9.00683064347295,-1.12080070691856,-1.36789037614972,0.684884206165526
"ZK112BX-2001",0.367885184993061,-7.07206958441517,4.22654653101555,5.41493446789829,14.9708250150297,0.244040607007529,-8.19141583389044,8.55137558251201,-2.68033163876302,3.72120450560034
"ZK112BX-2002",4.24236134642455,-0.244616764035472,-0.211894767858499,2.35962930461734,12.027720214383,-4.80266125634643,-12.4378460342979,4.64632110826057,-4.6735613267468,4.27961382247956
"ZK112BX-2013",2.8692644857492,-0.729991171568872,2.63479284404157,3.25140117100325,11.7532849936058,-2.6478767488662,-9.77661112884069,5.28864872837251,-4.76157336780307,3.47858988475016
"ZK4CK8Y-01",9.25432324278725,-5.45400264546878,0.0173175936125307,14.8245182097836,9.41911164391477,9.01148967366527,6.00752522041918,6.77085382234596,-1.96532806512926,7.54826811086226
"ZK4CK8Y-02",11.4590872758539,7.29881287980042,-2.14794060427657,-1.98110512058822,2.09077912095751,-0.517038089820083,2.7502051415798,2.42405621633201,-2.38687431921352,6.60594683001179
"ZK4CK8Y-03",10.3732368118459,-0.869374556694879,-1.89252302205215,11.0795653888349,6.53135429963935,8.23230674173458,5.70028359908714,4.40459670514996,-1.18929720504808,6.75873118150189
"ZK4CK8Y-04",12.1777664572865,11.9741198851679,-8.51884808899105,1.60889315036485,-0.703259998327826,-0.180775867414348,-0.770143516518399,-5.21697388037123,-6.66841451294338,9.20725998481803
"ZK4CK8Y-05",11.982943915369,7.09896567360911,-6.77621528168159,2.40004543748096,0.193595366028886,1.15636166175393,0.147907435897667,-3.04011693002648,-6.62825812820185,8.89164815760039
"ZK4CK8Y-06",11.5951226479224,8.56564730064898,-7.01529215195934,1.68078803272233,0.606633104646503,-0.0879886933417914,0.485686065296768,-3.91273057337021,-7.35913210149067,9.26833339572961
"ZK4CK8Y-08",9.75134201014589,-2.30427561119963,-0.706854772971777,17.4005524144688,11.6149439604426,13.2869642008117,6.14260122258915,7.73880101000077,-3.5755346762064,12.3661915618484
"ZK4CK8Y-09",9.42996460372294,-1.82120511502389,-1.72486964840251,7.34173422349489,6.36475175161137,6.07936580355609,5.15031974231308,0.292523821547264,-4.46129018523277,7.32881379383942
