"","comp1","comp2"
"ZOZOW1T-1015",7.22128658503415,-2.37911196525425
"ZUG7QHE-07",6.82555037267545,-1.59584588995362
"ZUC2YGO-1012",4.52845194307059,0.551429549668882
"ZTL5S2Y-1014",5.31576147451979,-0.279193232559514
"ZX52KVK-1014",9.46698769299796,0.146696266215715
"ZN3TBJM-2022",5.72337310216187,-6.64594988608299
"ZMBVNFM-1022",6.67683777783692,-2.20028743286603
"ZR3WH7V-03",11.7626251190269,-2.05665784945456
"ZL9BTWF-1013",7.65108893386243,-1.33096628339515
"ZN3TBJM-01",8.35196792136251,0.275946571201766
"ZX52KVK-2021",2.37140776977076,7.79887212254902
"ZN0JE53-2014",4.03495953398038,11.1408795417761
"ZYHHR4Z-02",1.47566690554067,4.8902214778385
"ZOZOW1T-1021",0.823935920686617,6.22499633507383
"ZYHHR4Z-10",5.2091446131555,6.21479971812658
"ZLPZS0H-09",2.6402748538681,6.39196255654237
"ZN0JE53-03",6.84605660414974,8.73451504140044
"ZY1ZKJY-2014",1.7354923056665,5.00445828131872
"ZLYEM2C-07",7.08471940581718,-4.31666792584673
"ZTLUDS8-09",8.16619435243991,-1.1717145688689
"ZO5QFNX-1012",7.24775663440629,-6.78750844034976
"ZKFV71L-2013",7.58892671114117,-5.8705424717102
"ZVNCGHM-6021",11.0742073161697,-3.70521489337641
"ZLGD9M0-1012",11.6804206225201,-3.11459092439909
"ZN0JE53-2012",13.0591251129872,3.92609217503078
"ZO94RDZ-04",5.13399966876968,-4.1887716932801
"ZL63I8R-12",4.36970652404759,-5.60201416673297
"ZYU89T9-2013",5.75942246488215,-2.21654047557106
"ZVNCGHM-6041",3.24607669323264,-8.10525175155889
"ZTLUDS8-1023",3.06267811110511,-5.45132880686259
"ZKVR426-13",0.624987691329475,4.34293361849209
"ZM7JY3G-04",-2.09881264933293,4.64499446329841
"ZKFV71L-2015",0.731171404585794,3.07962378404931
"ZX52KVK-2014",2.00947885318811,5.06494298292751
"ZYHHR4Z-2021",-1.36805391470505,7.05341002216421
"ZM7JY3G-02",-0.512929700821312,3.08007280585338
"ZMGT937-01",2.07756549914947,-5.99424658335007
"ZLPZS0H-07",7.03662328203494,3.00263216537788
"ZN3TBJM-07",2.02250719777826,-0.838514397178248
"ZPEL6L3-02",1.90084870443912,-3.17262725881752
"ZLZQMEV-12",3.15880396115536,0.225283390137283
"ZNQOVZV-1014",2.10350582257425,0.581911917526534
"ZWCZHHY-06",0.46214887703196,-1.47622775543541
"ZN3TBJM-1023",3.82145033973293,-1.82958736250463
"ZUG7QHE-03",1.93015534756459,-2.74147133131338
"ZW61YGW-03",9.447648288781,-0.345291154575153
"ZQNZSQF-02",3.86811814462728,-2.18432303299735
"ZM8YXDM-02",2.48972810472141,-1.85788091962762
"ZTMFN3O-04",3.63969518485571,-0.298147945160569
"ZO5QFNX-1014",8.8540179611024,0.134317539531977
"ZOQM06Q-01",5.72054199490622,1.76928185244581
"ZMBVNFM-03",5.01476321785604,1.47130213520724
"ZWLGEWL-2013",8.17793335334561,2.88346070602014
"ZLYEM2C-01",4.22881916115318,2.98427293563515
"ZN9YTFN-6031",9.92575662952017,3.92228887322596
"ZPMBHPS-01",7.120787007887,2.29008729627139
"ZVTCAK9-01",2.27794878399071,0.637802144737759
"ZLPZS0H-2013",2.6162748041265,5.30981709210881
"ZTMFN3O-01",3.85496817898895,2.52634721168404
"ZVM4N7A-02",4.11677349324214,-0.326908252213579
"ZY9XQJP-10",3.40697885886422,-0.849386278024523
"ZN9YTFN-1011",5.10924806441632,0.378379889597944
"ZTL5S2Y-1011",4.11543105740533,1.77022230835151
"ZPXU188-03",6.08658953554476,2.04133193178158
"ZN0JE53-11",7.67463488917682,1.20983537476446
"ZN3TBJM-04",7.07755045930426,0.0078208768801186
"ZOZOW1T-80",8.94954295846076,2.96127758053603
"ZLTUJTN-2031",7.88426347069569,-0.0413496605243827
"ZN3TBJM-06",8.93653843226651,4.13922815198953
"ZLZQMEV-06",8.99354864795307,1.10225928007767
"ZSUQ08V-01",6.00455634962004,1.28715840279464
"ZPDABJR-3013",-0.698666216076234,10.5855119858745
"ZY1ZKJY-01",-1.16223656456836,4.15002569433179
"ZL63I8R-14",-1.45720745337258,7.47910131090022
"ZLTUJTN-2012",-2.9881262517291,9.45260793065803
