"","comp1","comp2"
"ZLPZS0H-06",6.41787763249004,7.07309054677181
"ZOZOW1T-56",-1.09595945788281,3.55488022236163
"ZKFV71L-6021",0.3324934595869,-1.24981653485561
"ZVGW5FI-03",1.77877757792841,-3.53557441123789
"ZOZOW1T-1022",0.581613654185045,-3.32469253509693
"ZX52KVK-6021",1.47343396332612,-8.55979118574017
"ZN3TBJM-1014",2.55742920514682,-2.71632381109782
"ZKVR426-11",1.2986627395838,-3.88355396179755
"ZW61YGW-03",-0.642539882521374,-3.36341785775164
"ZKFV71L-2011",-0.0171853925210283,-5.0334749206725
"ZNDMXI3-09",0.0447255850374779,-2.61077101852488
"ZLPRB8E-06",-0.166786795308211,-1.92494746708482
"ZKVR426-2011",-0.627379970575166,-0.677510921313236
"ZM7JY3G-02",-3.27255666586354,-1.09441503031511
"ZWLGEWL-04",-4.50978894175404,0.671422312296542
"ZQFL1P3-6011",-2.36157820384517,-1.79624659174746
"ZLZNCLZ-1011",0.999221075703684,-3.38393281978265
"ZOZOW1T-4024",-0.12366980215227,-2.39738788281019
"ZVC4YUG-01",2.15024439894507,-5.36535150217498
"ZW61YGW-01",1.06337426559478,-4.62716268863931
"ZOZOW1T-6031",-5.12932865177788,-5.91808867736464
"ZLZQMEV-04",-5.88353940609272,-9.43995908488583
"ZLPZS0H-10",-5.09699001345976,-9.50218100132872
"ZL9BTWF-6021",-8.57774557659322,-5.37753170678353
"ZR47VBL-03",-7.76846382130822,-5.47566647193096
"ZX52KVK-4011",-5.14139735441647,-3.96788772521954
"ZN3TBJM-2023",-5.9840253355246,-1.11707321427533
"ZKFV71L-2015",-5.98433117512096,-1.87448521185818
"ZTJ7L7Z-06",-7.16328078855185,-4.30880547826465
"ZLZNCLZ-1035",-8.64024344919491,-2.63681341775738
"ZY7IW45-05",-4.02014397448813,-5.97755669488987
"ZK112BX-08",-9.07570755871447,-1.74507079019739
"ZJTKAE3-6011",-6.71065621245012,-4.67391071450378
"ZJTKAE3-2013",-7.20212896857743,-11.0949543229975
"ZL63I8R-13",-8.66443696812881,-5.84205198234051
"ZM7JY3G-09",-4.61846701347832,-15.1573294293749
"ZN9YTFN-1012",-5.43970499280406,-2.7286041488629
"ZKFV71L-05",2.3320646528962,1.32014117138357
"ZKVR426-14",-0.732724572352188,6.0573551409161
